Question,question_text,Image ID,Response
Other,How many houses can you see in this image?,339901604398274_2,4
Other,How many houses can you see in this image?,339901604398274_2,4
Other,How many houses can you see in this image?,339901604398274_2,4
Other,How many houses can you see in this image?,339901604398274_2,4
Other,How many houses can you see in this image?,339901604398274_2,4
Other,How many houses can you see in this image?,339901604398274_2,4
Other,How many houses can you see in this image?,339901604398274_2,4
Other,How many houses can you see in this image?,339901604398274_2,4
Other,How many houses can you see in this image?,780342119291654_2,7
Other,How many houses can you see in this image?,780342119291654_2,7
Other,How many houses can you see in this image?,780342119291654_2,7
Other,How many houses can you see in this image?,780342119291654_2,7
Other,How many houses can you see in this image?,780342119291654_2,6
Other,How many houses can you see in this image?,780342119291654_2,6
Other,How many houses can you see in this image?,780342119291654_2,6
Other,How many houses can you see in this image?,780342119291654_2,6
Other,How many houses can you see in this image?,780342119291654_2,7
Other,How many houses can you see in this image?,780342119291654_2,7
Other,How many houses can you see in this image?,678566243932880_2,9
Other,How many houses can you see in this image?,678566243932880_2,7
Other,How many houses can you see in this image?,678566243932880_2,9
Other,How many houses can you see in this image?,678566243932880_2,10
Other,How many houses can you see in this image?,678566243932880_2,10
Other,How many houses can you see in this image?,678566243932880_2,9
Other,How many houses can you see in this image?,678566243932880_2,9
Other,How many houses can you see in this image?,678566243932880_2,9
Other,How many houses can you see in this image?,678566243932880_2,9
Other,How many houses can you see in this image?,678566243932880_2,7
Other,How many houses can you see in this image?,794592797864863_2,10
Other,How many houses can you see in this image?,794592797864863_2,10
Other,How many houses can you see in this image?,794592797864863_2,10
Other,How many houses can you see in this image?,794592797864863_2,10
Other,How many houses can you see in this image?,794592797864863_2,10
Other,How many houses can you see in this image?,794592797864863_2,10
Other,How many houses can you see in this image?,794592797864863_2,10
Other,How many houses can you see in this image?,794592797864863_2,10
Other,How many houses can you see in this image?,794592797864863_2,10
Other,How many houses can you see in this image?,794592797864863_2,10
Other,How many cars can you see in this image?,258028249344107_1,4
Other,How many cars can you see in this image?,258028249344107_1,4
Other,How many cars can you see in this image?,258028249344107_1,5
Other,How many cars can you see in this image?,258028249344107_1,4
Other,How many cars can you see in this image?,258028249344107_1,4
Other,How many cars can you see in this image?,258028249344107_1,4
Other,How many cars can you see in this image?,258028249344107_1,4
Other,How many cars can you see in this image?,258028249344107_1,3
Other,How many cars can you see in this image?,258028249344107_1,5
Other,How many cars can you see in this image?,258028249344107_1,5
Other,How many cars can you see in this image?,2552670311530958_2,7
Other,How many cars can you see in this image?,2552670311530958_2,7
Other,How many cars can you see in this image?,2552670311530958_2,7
Other,How many cars can you see in this image?,2552670311530958_2,7
Other,How many cars can you see in this image?,2552670311530958_2,7
Other,How many cars can you see in this image?,2552670311530958_2,7
Other,How many cars can you see in this image?,2552670311530958_2,7
Other,How many cars can you see in this image?,2552670311530958_2,7
Other,How many cars can you see in this image?,2552670311530958_2,7
Other,How many cars can you see in this image?,2552670311530958_2,7
Other,How many cars can you see in this image?,968781210559856_1,4
Other,How many cars can you see in this image?,968781210559856_1,3
Other,How many cars can you see in this image?,968781210559856_1,4
Other,How many cars can you see in this image?,968781210559856_1,5
Other,How many cars can you see in this image?,968781210559856_1,4
Other,How many cars can you see in this image?,968781210559856_1,4
Other,How many cars can you see in this image?,968781210559856_1,4
Other,How many cars can you see in this image?,968781210559856_1,5
Other,How many cars can you see in this image?,968781210559856_1,3
Other,How many cars can you see in this image?,968781210559856_1,4
Other,How many cars can you see in this image?,508260177042388_2,2
Other,How many cars can you see in this image?,508260177042388_2,2
Other,How many cars can you see in this image?,508260177042388_2,2
Other,How many cars can you see in this image?,508260177042388_2,2
Other,How many cars can you see in this image?,508260177042388_2,2
Other,How many cars can you see in this image?,508260177042388_2,2
Other,How many cars can you see in this image?,508260177042388_2,2
Other,How many cars can you see in this image?,508260177042388_2,2
Other,How many cars can you see in this image?,508260177042388_2,2
Other,How many cars can you see in this image?,508260177042388_2,2
Other,How many cars can you see in this image?,462786971684673_2,1
Other,How many cars can you see in this image?,462786971684673_2,1
Other,How many cars can you see in this image?,462786971684673_2,1
Other,How many cars can you see in this image?,462786971684673_2,1
Other,How many cars can you see in this image?,462786971684673_2,1
Other,How many cars can you see in this image?,462786971684673_2,1
Other,How many cars can you see in this image?,462786971684673_2,1
Other,How many cars can you see in this image?,462786971684673_2,1
Other,How many cars can you see in this image?,462786971684673_2,1
Other,How many cars can you see in this image?,462786971684673_2,1
Other,How many houses can you see in this image?,258028249344107_1,10
Other,How many houses can you see in this image?,258028249344107_1,10
Other,How many houses can you see in this image?,258028249344107_1,10
Other,How many houses can you see in this image?,258028249344107_1,10
Other,How many houses can you see in this image?,258028249344107_1,10
Other,How many houses can you see in this image?,258028249344107_1,10
Other,How many houses can you see in this image?,258028249344107_1,10
Other,How many houses can you see in this image?,258028249344107_1,10
Other,How many houses can you see in this image?,258028249344107_1,10
Other,How many houses can you see in this image?,258028249344107_1,10
Other,How many houses can you see in this image?,968781210559856_1,9
Other,How many houses can you see in this image?,968781210559856_1,9
Other,How many houses can you see in this image?,968781210559856_1,9
Other,How many houses can you see in this image?,968781210559856_1,9
Other,How many houses can you see in this image?,968781210559856_1,9
Other,How many houses can you see in this image?,968781210559856_1,9
Other,How many houses can you see in this image?,968781210559856_1,9
Other,How many houses can you see in this image?,968781210559856_1,9
Other,How many houses can you see in this image?,968781210559856_1,9
Other,How many houses can you see in this image?,968781210559856_1,9
Other,How many houses can you see in this image?,2552670311530958_2,6
Other,How many houses can you see in this image?,2552670311530958_2,6
Other,How many houses can you see in this image?,2552670311530958_2,6
Other,How many houses can you see in this image?,2552670311530958_2,6
Other,How many houses can you see in this image?,2552670311530958_2,6
Other,How many houses can you see in this image?,2552670311530958_2,6
Other,How many houses can you see in this image?,2552670311530958_2,6
Other,How many houses can you see in this image?,2552670311530958_2,6
Other,How many houses can you see in this image?,2552670311530958_2,6
Other,How many houses can you see in this image?,2552670311530958_2,6
Other,How many houses can you see in this image?,462786971684673_2,9
Other,How many houses can you see in this image?,462786971684673_2,9
Other,How many houses can you see in this image?,462786971684673_2,9
Other,How many houses can you see in this image?,462786971684673_2,9
Other,How many houses can you see in this image?,462786971684673_2,9
Other,How many houses can you see in this image?,462786971684673_2,9
Other,How many houses can you see in this image?,462786971684673_2,9
Other,How many houses can you see in this image?,462786971684673_2,9
Other,How many houses can you see in this image?,462786971684673_2,9
Other,How many houses can you see in this image?,462786971684673_2,9
Other,How many houses can you see in this image?,508260177042388_2,0
Other,How many houses can you see in this image?,508260177042388_2,0
Other,How many houses can you see in this image?,508260177042388_2,0
Other,How many houses can you see in this image?,508260177042388_2,0
Other,How many houses can you see in this image?,508260177042388_2,0
Other,How many houses can you see in this image?,508260177042388_2,0
Other,How many houses can you see in this image?,508260177042388_2,0
Other,How many houses can you see in this image?,508260177042388_2,0
Other,How many houses can you see in this image?,508260177042388_2,0
Other,How many houses can you see in this image?,508260177042388_2,0
Other,How many cars can you see in this image?,318261069709296_1,2
Other,How many cars can you see in this image?,318261069709296_1,3
Other,How many cars can you see in this image?,318261069709296_1,2
Other,How many cars can you see in this image?,318261069709296_1,3
Other,How many cars can you see in this image?,318261069709296_1,2
Other,How many cars can you see in this image?,318261069709296_1,3
Other,How many cars can you see in this image?,318261069709296_1,2
Other,How many cars can you see in this image?,318261069709296_1,3
Other,How many cars can you see in this image?,318261069709296_1,3
Other,How many cars can you see in this image?,318261069709296_1,2
Other,How many cars can you see in this image?,403593193972696_2,2
Other,How many cars can you see in this image?,403593193972696_2,2
Other,How many cars can you see in this image?,403593193972696_2,2
Other,How many cars can you see in this image?,403593193972696_2,2
Other,How many cars can you see in this image?,403593193972696_2,2
Other,How many cars can you see in this image?,403593193972696_2,3
Other,How many cars can you see in this image?,403593193972696_2,2
Other,How many cars can you see in this image?,403593193972696_2,2
Other,How many cars can you see in this image?,403593193972696_2,2
Other,How many cars can you see in this image?,403593193972696_2,2
Other,How many cars can you see in this image?,956545455094240_2,9
Other,How many cars can you see in this image?,956545455094240_2,10
Other,How many cars can you see in this image?,956545455094240_2,10
Other,How many cars can you see in this image?,956545455094240_2,10
Other,How many cars can you see in this image?,956545455094240_2,10
Other,How many cars can you see in this image?,956545455094240_2,10
Other,How many cars can you see in this image?,956545455094240_2,10
Other,How many cars can you see in this image?,956545455094240_2,9
Other,How many cars can you see in this image?,956545455094240_2,11
Other,How many cars can you see in this image?,956545455094240_2,10
Other,How many cars can you see in this image?,306523080964236_1,5
Other,How many cars can you see in this image?,306523080964236_1,4
Other,How many cars can you see in this image?,306523080964236_1,3
Other,How many cars can you see in this image?,306523080964236_1,3
Other,How many cars can you see in this image?,306523080964236_1,4
Other,How many cars can you see in this image?,306523080964236_1,4
Other,How many cars can you see in this image?,306523080964236_1,4
Other,How many cars can you see in this image?,306523080964236_1,4
Other,How many cars can you see in this image?,306523080964236_1,4
Other,How many cars can you see in this image?,306523080964236_1,4
Other,How many cars can you see in this image?,2299358233555402_1,3
Other,How many cars can you see in this image?,2299358233555402_1,3
Other,How many cars can you see in this image?,2299358233555402_1,3
Other,How many cars can you see in this image?,2299358233555402_1,2
Other,How many cars can you see in this image?,2299358233555402_1,3
Other,How many cars can you see in this image?,2299358233555402_1,3
Other,How many cars can you see in this image?,2299358233555402_1,3
Other,How many cars can you see in this image?,2299358233555402_1,3
Other,How many cars can you see in this image?,2299358233555402_1,3
Other,How many cars can you see in this image?,2299358233555402_1,3
Other,How many houses can you see in this image?,318261069709296_1,7
Other,How many houses can you see in this image?,318261069709296_1,7
Other,How many houses can you see in this image?,318261069709296_1,7
Other,How many houses can you see in this image?,318261069709296_1,7
Other,How many houses can you see in this image?,318261069709296_1,7
Other,How many houses can you see in this image?,318261069709296_1,7
Other,How many houses can you see in this image?,318261069709296_1,7
Other,How many houses can you see in this image?,318261069709296_1,7
Other,How many houses can you see in this image?,318261069709296_1,7
Other,How many houses can you see in this image?,318261069709296_1,7
Other,How many houses can you see in this image?,403593193972696_2,15
Other,How many houses can you see in this image?,403593193972696_2,20
Other,How many houses can you see in this image?,403593193972696_2,15
Other,How many houses can you see in this image?,403593193972696_2,20
Other,How many houses can you see in this image?,403593193972696_2,15
Other,How many houses can you see in this image?,403593193972696_2,15
Other,How many houses can you see in this image?,403593193972696_2,15
Other,How many houses can you see in this image?,403593193972696_2,20
Other,How many houses can you see in this image?,403593193972696_2,20
Other,How many houses can you see in this image?,403593193972696_2,15
Other,How many houses can you see in this image?,306523080964236_1,10
Other,How many houses can you see in this image?,306523080964236_1,9
Other,How many houses can you see in this image?,306523080964236_1,10
Other,How many houses can you see in this image?,306523080964236_1,10
Other,How many houses can you see in this image?,306523080964236_1,10
Other,How many houses can you see in this image?,306523080964236_1,10
Other,How many houses can you see in this image?,306523080964236_1,10
Other,How many houses can you see in this image?,306523080964236_1,10
Other,How many houses can you see in this image?,306523080964236_1,9
Other,How many houses can you see in this image?,306523080964236_1,10
Other,How many houses can you see in this image?,956545455094240_2,10
Other,How many houses can you see in this image?,956545455094240_2,10
Other,How many houses can you see in this image?,956545455094240_2,10
Other,How many houses can you see in this image?,956545455094240_2,10
Other,How many houses can you see in this image?,956545455094240_2,10
Other,How many houses can you see in this image?,956545455094240_2,10
Other,How many houses can you see in this image?,956545455094240_2,10
Other,How many houses can you see in this image?,956545455094240_2,10
Other,How many houses can you see in this image?,956545455094240_2,10
Other,How many houses can you see in this image?,956545455094240_2,10
Other,How many houses can you see in this image?,2299358233555402_1,10
Other,How many houses can you see in this image?,2299358233555402_1,10
Other,How many houses can you see in this image?,2299358233555402_1,10
Other,How many houses can you see in this image?,2299358233555402_1,10
Other,How many houses can you see in this image?,2299358233555402_1,10
Other,How many houses can you see in this image?,2299358233555402_1,10
Other,How many houses can you see in this image?,2299358233555402_1,10
Other,How many houses can you see in this image?,2299358233555402_1,12
Other,How many houses can you see in this image?,2299358233555402_1,10
Other,How many houses can you see in this image?,2299358233555402_1,10
Other,How many cars can you see in this image?,525276995158085_2,7
Other,How many cars can you see in this image?,525276995158085_2,7
Other,How many cars can you see in this image?,525276995158085_2,7
Other,How many cars can you see in this image?,525276995158085_2,7
Other,How many cars can you see in this image?,525276995158085_2,7
Other,How many cars can you see in this image?,525276995158085_2,7
Other,How many cars can you see in this image?,525276995158085_2,7
Other,How many cars can you see in this image?,525276995158085_2,7
Other,How many cars can you see in this image?,525276995158085_2,6
Other,How many cars can you see in this image?,525276995158085_2,7
Other,How many cars can you see in this image?,292264092371454_1,1
Other,How many cars can you see in this image?,292264092371454_1,1
Other,How many cars can you see in this image?,292264092371454_1,0
Other,How many cars can you see in this image?,292264092371454_1,1
Other,How many cars can you see in this image?,292264092371454_1,0
Other,How many cars can you see in this image?,292264092371454_1,0
Other,How many cars can you see in this image?,292264092371454_1,0
Other,How many cars can you see in this image?,292264092371454_1,1
Other,How many cars can you see in this image?,292264092371454_1,1
Other,How many cars can you see in this image?,292264092371454_1,1
Other,How many cars can you see in this image?,215393416863988_1,5
Other,How many cars can you see in this image?,215393416863988_1,5
Other,How many cars can you see in this image?,215393416863988_1,5
Other,How many cars can you see in this image?,215393416863988_1,5
Other,How many cars can you see in this image?,215393416863988_1,5
Other,How many cars can you see in this image?,215393416863988_1,5
Other,How many cars can you see in this image?,215393416863988_1,5
Other,How many cars can you see in this image?,215393416863988_1,5
Other,How many cars can you see in this image?,215393416863988_1,5
Other,How many cars can you see in this image?,215393416863988_1,5
Other,How many cars can you see in this image?,792088201682365_2,7
Other,How many cars can you see in this image?,792088201682365_2,7
Other,How many cars can you see in this image?,792088201682365_2,7
Other,How many cars can you see in this image?,792088201682365_2,7
Other,How many cars can you see in this image?,792088201682365_2,7
Other,How many cars can you see in this image?,792088201682365_2,7
Other,How many cars can you see in this image?,792088201682365_2,7
Other,How many cars can you see in this image?,792088201682365_2,7
Other,How many cars can you see in this image?,792088201682365_2,7
Other,How many cars can you see in this image?,792088201682365_2,7
Other,How many cars can you see in this image?,367240158192389_1,2
Other,How many cars can you see in this image?,367240158192389_1,2
Other,How many cars can you see in this image?,367240158192389_1,2
Other,How many cars can you see in this image?,367240158192389_1,3
Other,How many cars can you see in this image?,367240158192389_1,2
Other,How many cars can you see in this image?,367240158192389_1,3
Other,How many cars can you see in this image?,367240158192389_1,2
Other,How many cars can you see in this image?,367240158192389_1,2
Other,How many cars can you see in this image?,367240158192389_1,2
Other,How many cars can you see in this image?,367240158192389_1,2
Other,How many houses can you see in this image?,792088201682365_2,15
Other,How many houses can you see in this image?,792088201682365_2,15
Other,How many houses can you see in this image?,792088201682365_2,12
Other,How many houses can you see in this image?,792088201682365_2,15
Other,How many houses can you see in this image?,792088201682365_2,15
Other,How many houses can you see in this image?,792088201682365_2,15
Other,How many houses can you see in this image?,792088201682365_2,15
Other,How many houses can you see in this image?,792088201682365_2,15
Other,How many houses can you see in this image?,792088201682365_2,15
Other,How many houses can you see in this image?,792088201682365_2,15
Other,How many houses can you see in this image?,292264092371454_1,0
Other,How many houses can you see in this image?,292264092371454_1,0
Other,How many houses can you see in this image?,292264092371454_1,0
Other,How many houses can you see in this image?,292264092371454_1,0
Other,How many houses can you see in this image?,292264092371454_1,0
Other,How many houses can you see in this image?,292264092371454_1,0
Other,How many houses can you see in this image?,292264092371454_1,0
Other,How many houses can you see in this image?,292264092371454_1,0
Other,How many houses can you see in this image?,292264092371454_1,0
Other,How many houses can you see in this image?,292264092371454_1,0
Other,How many houses can you see in this image?,215393416863988_1,10
Other,How many houses can you see in this image?,215393416863988_1,10
Other,How many houses can you see in this image?,215393416863988_1,10
Other,How many houses can you see in this image?,215393416863988_1,10
Other,How many houses can you see in this image?,215393416863988_1,10
Other,How many houses can you see in this image?,215393416863988_1,10
Other,How many houses can you see in this image?,215393416863988_1,10
Other,How many houses can you see in this image?,215393416863988_1,10
Other,How many houses can you see in this image?,215393416863988_1,10
Other,How many houses can you see in this image?,215393416863988_1,10
Other,How many houses can you see in this image?,525276995158085_2,9
Other,How many houses can you see in this image?,525276995158085_2,9
Other,How many houses can you see in this image?,525276995158085_2,9
Other,How many houses can you see in this image?,525276995158085_2,10
Other,How many houses can you see in this image?,525276995158085_2,9
Other,How many houses can you see in this image?,525276995158085_2,9
Other,How many houses can you see in this image?,525276995158085_2,9
Other,How many houses can you see in this image?,525276995158085_2,9
Other,How many houses can you see in this image?,525276995158085_2,9
Other,How many houses can you see in this image?,525276995158085_2,9
Other,How many houses can you see in this image?,367240158192389_1,10
Other,How many houses can you see in this image?,367240158192389_1,10
Other,How many houses can you see in this image?,367240158192389_1,10
Other,How many houses can you see in this image?,367240158192389_1,10
Other,How many houses can you see in this image?,367240158192389_1,10
Other,How many houses can you see in this image?,367240158192389_1,10
Other,How many houses can you see in this image?,367240158192389_1,10
Other,How many houses can you see in this image?,367240158192389_1,10
Other,How many houses can you see in this image?,367240158192389_1,10
Other,How many houses can you see in this image?,367240158192389_1,10
Other,How many cars can you see in this image?,508371403645898_1,2
Other,How many cars can you see in this image?,508371403645898_1,2
Other,How many cars can you see in this image?,508371403645898_1,2
Other,How many cars can you see in this image?,508371403645898_1,2
Other,How many cars can you see in this image?,508371403645898_1,2
Other,How many cars can you see in this image?,508371403645898_1,2
Other,How many cars can you see in this image?,508371403645898_1,2
Other,How many cars can you see in this image?,508371403645898_1,2
Other,How many cars can you see in this image?,508371403645898_1,2
Other,How many cars can you see in this image?,508371403645898_1,2
Other,How many cars can you see in this image?,333887788086888_2,4
Other,How many cars can you see in this image?,333887788086888_2,4
Other,How many cars can you see in this image?,333887788086888_2,4
Other,How many cars can you see in this image?,333887788086888_2,4
Other,How many cars can you see in this image?,333887788086888_2,4
Other,How many cars can you see in this image?,333887788086888_2,4
Other,How many cars can you see in this image?,333887788086888_2,4
Other,How many cars can you see in this image?,333887788086888_2,4
Other,How many cars can you see in this image?,333887788086888_2,4
Other,How many cars can you see in this image?,333887788086888_2,4
Other,How many cars can you see in this image?,985413675361949_2,2
Other,How many cars can you see in this image?,985413675361949_2,2
Other,How many cars can you see in this image?,985413675361949_2,2
Other,How many cars can you see in this image?,985413675361949_2,2
Other,How many cars can you see in this image?,985413675361949_2,2
Other,How many cars can you see in this image?,985413675361949_2,2
Other,How many cars can you see in this image?,985413675361949_2,2
Other,How many cars can you see in this image?,985413675361949_2,2
Other,How many cars can you see in this image?,985413675361949_2,2
Other,How many cars can you see in this image?,985413675361949_2,2
Other,How many cars can you see in this image?,1894508430727856_2,2
Other,How many cars can you see in this image?,1894508430727856_2,2
Other,How many cars can you see in this image?,1894508430727856_2,2
Other,How many cars can you see in this image?,1894508430727856_2,2
Other,How many cars can you see in this image?,1894508430727856_2,2
Other,How many cars can you see in this image?,1894508430727856_2,2
Other,How many cars can you see in this image?,1894508430727856_2,2
Other,How many cars can you see in this image?,1894508430727856_2,2
Other,How many cars can you see in this image?,1894508430727856_2,2
Other,How many cars can you see in this image?,1894508430727856_2,2
Other,How many cars can you see in this image?,308830070730029_1,5
Other,How many cars can you see in this image?,308830070730029_1,5
Other,How many cars can you see in this image?,308830070730029_1,5
Other,How many cars can you see in this image?,308830070730029_1,6
Other,How many cars can you see in this image?,308830070730029_1,5
Other,How many cars can you see in this image?,308830070730029_1,5
Other,How many cars can you see in this image?,308830070730029_1,5
Other,How many cars can you see in this image?,308830070730029_1,5
Other,How many cars can you see in this image?,308830070730029_1,6
Other,How many cars can you see in this image?,308830070730029_1,6
Other,How many houses can you see in this image?,508371403645898_1,9
Other,How many houses can you see in this image?,508371403645898_1,9
Other,How many houses can you see in this image?,508371403645898_1,9
Other,How many houses can you see in this image?,508371403645898_1,9
Other,How many houses can you see in this image?,508371403645898_1,9
Other,How many houses can you see in this image?,508371403645898_1,9
Other,How many houses can you see in this image?,508371403645898_1,9
Other,How many houses can you see in this image?,508371403645898_1,9
Other,How many houses can you see in this image?,508371403645898_1,9
Other,How many houses can you see in this image?,508371403645898_1,8
Other,How many houses can you see in this image?,333887788086888_2,10
Other,How many houses can you see in this image?,333887788086888_2,10
Other,How many houses can you see in this image?,333887788086888_2,10
Other,How many houses can you see in this image?,333887788086888_2,10
Other,How many houses can you see in this image?,333887788086888_2,10
Other,How many houses can you see in this image?,333887788086888_2,10
Other,How many houses can you see in this image?,333887788086888_2,10
Other,How many houses can you see in this image?,333887788086888_2,10
Other,How many houses can you see in this image?,333887788086888_2,10
Other,How many houses can you see in this image?,333887788086888_2,10
Other,How many houses can you see in this image?,1894508430727856_2,7
Other,How many houses can you see in this image?,1894508430727856_2,7
Other,How many houses can you see in this image?,1894508430727856_2,7
Other,How many houses can you see in this image?,1894508430727856_2,7
Other,How many houses can you see in this image?,1894508430727856_2,7
Other,How many houses can you see in this image?,1894508430727856_2,7
Other,How many houses can you see in this image?,1894508430727856_2,7
Other,How many houses can you see in this image?,1894508430727856_2,7
Other,How many houses can you see in this image?,1894508430727856_2,7
Other,How many houses can you see in this image?,1894508430727856_2,7
Other,How many houses can you see in this image?,985413675361949_2,9
Other,How many houses can you see in this image?,985413675361949_2,9
Other,How many houses can you see in this image?,985413675361949_2,9
Other,How many houses can you see in this image?,985413675361949_2,7
Other,How many houses can you see in this image?,985413675361949_2,7
Other,How many houses can you see in this image?,985413675361949_2,9
Other,How many houses can you see in this image?,985413675361949_2,9
Other,How many houses can you see in this image?,985413675361949_2,9
Other,How many houses can you see in this image?,985413675361949_2,9
Other,How many houses can you see in this image?,985413675361949_2,7
Other,How many houses can you see in this image?,308830070730029_1,6
Other,How many houses can you see in this image?,308830070730029_1,7
Other,How many houses can you see in this image?,308830070730029_1,7
Other,How many houses can you see in this image?,308830070730029_1,6
Other,How many houses can you see in this image?,308830070730029_1,6
Other,How many houses can you see in this image?,308830070730029_1,7
Other,How many houses can you see in this image?,308830070730029_1,6
Other,How many houses can you see in this image?,308830070730029_1,7
Other,How many houses can you see in this image?,308830070730029_1,6
Other,How many houses can you see in this image?,308830070730029_1,7
Other,How many cars can you see in this image?,411111884116017_1,1
Other,How many cars can you see in this image?,411111884116017_1,1
Other,How many cars can you see in this image?,411111884116017_1,1
Other,How many cars can you see in this image?,411111884116017_1,2
Other,How many cars can you see in this image?,411111884116017_1,1
Other,How many cars can you see in this image?,411111884116017_1,1
Other,How many cars can you see in this image?,411111884116017_1,1
Other,How many cars can you see in this image?,411111884116017_1,2
Other,How many cars can you see in this image?,411111884116017_1,1
Other,How many cars can you see in this image?,411111884116017_1,1
Other,How many cars can you see in this image?,338547071019043_1,3
Other,How many cars can you see in this image?,338547071019043_1,3
Other,How many cars can you see in this image?,338547071019043_1,3
Other,How many cars can you see in this image?,338547071019043_1,3
Other,How many cars can you see in this image?,338547071019043_1,3
Other,How many cars can you see in this image?,338547071019043_1,3
Other,How many cars can you see in this image?,338547071019043_1,3
Other,How many cars can you see in this image?,338547071019043_1,3
Other,How many cars can you see in this image?,338547071019043_1,3
Other,How many cars can you see in this image?,338547071019043_1,3
Other,How many cars can you see in this image?,385677832732611_2,3
Other,How many cars can you see in this image?,385677832732611_2,3
Other,How many cars can you see in this image?,385677832732611_2,3
Other,How many cars can you see in this image?,385677832732611_2,3
Other,How many cars can you see in this image?,385677832732611_2,2
Other,How many cars can you see in this image?,385677832732611_2,3
Other,How many cars can you see in this image?,385677832732611_2,3
Other,How many cars can you see in this image?,385677832732611_2,3
Other,How many cars can you see in this image?,385677832732611_2,3
Other,How many cars can you see in this image?,385677832732611_2,3
Other,How many cars can you see in this image?,650181592745832_1,4
Other,How many cars can you see in this image?,650181592745832_1,3
Other,How many cars can you see in this image?,650181592745832_1,3
Other,How many cars can you see in this image?,650181592745832_1,3
Other,How many cars can you see in this image?,650181592745832_1,3
Other,How many cars can you see in this image?,650181592745832_1,3
Other,How many cars can you see in this image?,650181592745832_1,3
Other,How many cars can you see in this image?,650181592745832_1,4
Other,How many cars can you see in this image?,650181592745832_1,4
Other,How many cars can you see in this image?,650181592745832_1,4
Other,How many cars can you see in this image?,312248190515118_2,4
Other,How many cars can you see in this image?,312248190515118_2,4
Other,How many cars can you see in this image?,312248190515118_2,3
Other,How many cars can you see in this image?,312248190515118_2,4
Other,How many cars can you see in this image?,312248190515118_2,4
Other,How many cars can you see in this image?,312248190515118_2,4
Other,How many cars can you see in this image?,312248190515118_2,4
Other,How many cars can you see in this image?,312248190515118_2,4
Other,How many cars can you see in this image?,312248190515118_2,3
Other,How many cars can you see in this image?,312248190515118_2,3
Other,How many houses can you see in this image?,338547071019043_1,4
Other,How many houses can you see in this image?,338547071019043_1,4
Other,How many houses can you see in this image?,338547071019043_1,4
Other,How many houses can you see in this image?,338547071019043_1,4
Other,How many houses can you see in this image?,338547071019043_1,4
Other,How many houses can you see in this image?,338547071019043_1,4
